City_ID,City,Country,Max Temp,City Description,Lat,Lng,Hotel Name
450,Road Town,VG,79.0,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
452,Bakel,SN,81.28,broken clouds,14.905,-12.4568,Ablaye Diallo Bakel
453,Phan Thiet,VN,71.83,overcast clouds,10.9333,108.1,Hotel Saigon-PT
454,Huarmey,PE,70.47,broken clouds,-10.0681,-78.1522,Hotel Miramar
455,Zorgo,BF,78.73,scattered clouds,12.2489,-0.6158,Auberge Peng-Wende De Zorgho
458,Sao Joao Da Barra,BR,76.21,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
459,Yarada,IN,73.17,scattered clouds,17.65,83.2667,Vishranti
461,Tarakan,ID,76.5,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
468,Veraval,IN,73.31,clear sky,20.9,70.3667,Lords Inn Somnath
469,Viedma,AR,73.99,broken clouds,-40.8135,-62.9967,Hotel Cristal
472,Alta Floresta,BR,73.89,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
474,Manacapuru,BR,75.78,overcast clouds,-3.2997,-60.6206,Novo Hotel
475,Mandiana,GN,76.37,broken clouds,10.6333,-8.6833,Motels rouzo
476,Guiglo,CI,75.97,few clouds,6.5456,-7.4966,Hotel GBAOLY 2
477,Boyolangu,ID,77.47,broken clouds,-8.1181,111.8935,Yos ega cv
478,Beruwala,LK,76.68,overcast clouds,6.4788,79.9828,The Palms Hotel
482,Buchanan,LR,78.76,clear sky,5.8808,-10.0467,Kamaneahn Hotel Inc
483,Sarangani,PH,83.07,overcast clouds,5.4033,125.4636,Ballistic Islet
487,Coxim,BR,77.22,heavy intensity rain,-18.5067,-54.76,Hotel Avenida
490,Matadi,CD,75.94,light rain,-5.8167,13.45,Hotel Vivi Palace
493,Autazes,BR,75.43,overcast clouds,-3.5797,-59.1306,Apart hotel Tupinambá
497,Betioky,MG,72.95,overcast clouds,-23.7167,44.3833,Bungalows Acacias Hotel
498,Gondanglegi,ID,76.44,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
500,Sao Filipe,CV,74.89,overcast clouds,14.8961,-24.4956,Hotel Xaguate
508,Mindelo,CV,72.95,broken clouds,16.8901,-24.9804,Hotel Gaudi
513,Waingapu,ID,81.48,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
515,Yenagoa,NG,80.69,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
517,Labuhan,ID,78.58,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
521,Waw,SS,78.1,broken clouds,7.7029,27.9953,Universal Gab Hotel
524,Concordia,AR,84.78,broken clouds,-31.393,-58.0209,Palmar Hotel Casino
525,Tonj,SS,79.18,broken clouds,7.2737,28.6822,Lakan Hotel
526,Muisne,EC,75.31,light rain,0.6,-80.0333,Quinta Samay
528,Natalio,PY,75.36,overcast clouds,-26.7167,-55.0833,Casa familia Sánchez
529,Yanam,IN,74.1,broken clouds,16.7333,82.2167,The Regency Hotel
532,Rio Grande,BR,77.11,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
534,Tual,ID,84.0,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
540,San Martin,AR,75.74,broken clouds,-33.081,-68.4681,Club El Pelícano
542,San Carlos,VE,79.0,broken clouds,9.6612,-68.5827,Hotel Paternopoli
543,Finschhafen,PG,83.75,overcast clouds,-6.6024,147.8681,Cossam Guest House
546,El Doncello,CO,78.06,broken clouds,1.6782,-75.2847,Colombia
550,Bayonet Point,US,79.14,broken clouds,28.3267,-82.6834,Homewood Suites by Hilton Tampa-Port Richey
554,Mpulungu,ZM,73.38,broken clouds,-8.7623,31.1141,Chela moche guest house
555,Hervey Bay,AU,78.91,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
556,Ailigandi,PA,79.79,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
558,Yambio,SS,71.89,overcast clouds,4.5721,28.3955,Naivasha Hotel
559,Pochutla,MX,84.81,clear sky,15.7432,-96.4661,Hotel Posada San Jose
563,Santa Isabel Do Rio Negro,BR,77.94,broken clouds,-0.4139,-65.0192,Hotel GSA
567,Saint-Pierre,RE,76.68,broken clouds,-21.3393,55.4781,Lindsey Hôtel
568,Palomares,MX,72.59,scattered clouds,17.15,-95.0667,Hotel Monarca
570,Kampot,KH,78.85,overcast clouds,10.6167,104.1833,Two Moons Hotel
572,Tecoanapa,MX,83.28,clear sky,16.5167,-98.75,Hotel Manglares
579,Bhatkal,IN,78.58,broken clouds,13.9667,74.5667,Nilawar Palace
584,Almirante,PA,78.21,few clouds,9.3,-82.4,Hotel 888
585,Kralendijk,BQ,82.38,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
586,Bonthe,SL,79.92,few clouds,7.5264,-12.505,Bonthe Holiday Village
593,Bosaso,SO,73.89,clear sky,11.2842,49.1816,Red Sea Hotel
595,Kulhudhuffushi,MV,81.07,overcast clouds,6.6221,73.07,Haajy Guest House 1
600,Espana,PH,79.9,overcast clouds,12.3841,122.499,The Boathouse | Sibuyan Island
601,Cockburn Town,TC,78.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
604,Nouakchott,MR,71.53,broken clouds,18.0858,-15.9785,HOTEL IMAN
608,Zwedru,LR,76.69,scattered clouds,6.0667,-8.1281,Elijah Worjloh
609,Manzanillo,CU,80.33,few clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
610,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
616,Bara,NG,73.18,overcast clouds,10.3744,10.7288,
617,Owando,CG,71.2,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
618,Grand Gaube,MU,75.6,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
619,Mogadishu,SO,79.0,overcast clouds,2.0371,45.3438,Hotel Juba
620,Periyanayakkanpalaiyam,IN,71.19,mist,11.15,76.9333,Vasantha Lodge
621,Sedhiou,SN,78.93,scattered clouds,12.7081,-15.5569,Auberge Cheznous
625,Batemans Bay,AU,73.2,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
627,Port Shepstone,ZA,73.69,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
632,Byron Bay,AU,75.18,overcast clouds,-28.65,153.6167,Backpackers Inn
633,Inongo,CD,70.68,overcast clouds,-1.95,18.2667,Hotel Du Lac
634,Mbuji-Mayi,CD,70.97,overcast clouds,-6.15,23.6,GKT Hotel
637,Berbera,SO,75.22,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
639,Sao Mateus,BR,75.85,overcast clouds,-18.7161,-39.8589,Hotel Rio Norte
644,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
647,Kuzhithurai,IN,78.48,broken clouds,8.3167,77.1833,PWD Rest House
649,Jalingo,NG,77.77,few clouds,8.8833,11.3667,Debright Motel
650,Mmathubudukwane,BW,72.46,overcast clouds,-24.6,26.4333,Gill Sleepover Guesthouse
654,Madang,PG,79.43,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
663,Sampit,ID,75.0,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
