City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Description
196,Hastings,GB,2021-12-12 22:40:34,50.8552,0.5729,53.98,83,80,18.61,broken clouds
197,San Pedro Jocopilas,GT,2021-12-12 22:40:35,15.0944,-91.1514,64.15,70,46,6.51,scattered clouds
198,Haines Junction,CA,2021-12-12 22:40:35,60.7522,-137.5108,-5.85,54,99,8.05,overcast clouds
199,Yorkton,CA,2021-12-12 22:40:35,51.2167,-102.4677,33.64,69,75,14.97,broken clouds
200,Altay,CN,2021-12-12 22:40:36,47.8667,88.1167,10.87,64,86,5.37,overcast clouds
201,Bagu,PH,2021-12-12 22:40:36,18.4228,121.3583,73.13,82,100,10.29,overcast clouds
202,Codrington,AU,2021-12-12 22:40:36,-38.2667,141.9667,84.02,23,63,16.11,broken clouds
203,Sinnamary,GF,2021-12-12 22:40:37,5.3833,-52.95,77.09,90,100,10.58,overcast clouds
204,Cortez,US,2021-12-12 22:40:37,37.3489,-108.5859,43.56,62,1,8.05,clear sky
205,Severo-Yeniseyskiy,RU,2021-12-12 22:40:37,60.3725,93.0408,-16.65,100,98,2.71,overcast clouds
206,Yala,TH,2021-12-12 22:40:38,6.3333,101.25,71.42,96,62,1.63,broken clouds
207,Caravelas,BR,2021-12-12 22:40:38,-17.7125,-39.2481,76.62,87,51,9.08,broken clouds
208,Tres Arroyos,AR,2021-12-12 22:40:38,-38.3739,-60.2798,68.07,33,21,6.33,few clouds
209,Svetlyy,RU,2021-12-12 22:40:39,54.675,20.1347,30.25,95,100,8.57,overcast clouds
210,Strezhevoy,RU,2021-12-12 22:40:39,60.7333,77.5889,-2.22,99,86,2.3,overcast clouds
211,Aguimes,ES,2021-12-12 22:35:04,27.9054,-15.4461,61.43,74,20,10.36,few clouds
212,Longyearbyen,SJ,2021-12-12 22:35:06,78.2186,15.6401,31.84,74,75,18.41,broken clouds
213,Nome,US,2021-12-12 22:41:40,64.5011,-165.4064,-12.93,64,1,6.91,clear sky
214,Lorengau,PG,2021-12-12 22:33:58,-2.0226,147.2712,82.96,82,100,15.28,overcast clouds
215,Amapala,HN,2021-12-12 22:41:40,13.2922,-87.6539,95.76,51,2,3.06,clear sky
216,Aklavik,CA,2021-12-12 22:41:40,68.2191,-135.0107,-3.17,90,100,21.81,overcast clouds
217,Bonavista,CA,2021-12-12 22:41:41,48.6499,-53.1147,45.12,73,100,30.42,overcast clouds
